Length,Width,Layer Number
100,70,1.05263
80,60,3.15789
160,90,7.36842
80,55,5.26316
120,80,1.15789
70,65,2.10526
130,50,5.26316
180,50,1.05263
140,60,1.05263
45,40,1.05263
130,60,1.05263
310,130,1.57895
230,90,3.15789
90,40,1.05263
150,80,1.05263
210,90,7.89474
140,60,6.31579
260,100,1.05263
250,130,1.05263
70,40,6.84211
200,150,2.10526
150,60,2.10526
210,50,1.57895
180,60,2.10526
350,200,2.10526
300,50,2.10526
150,130,2.10526
190,70,1.05263
220,80,2.10526
120,100,3.15789
180,170,2.63158
320,110,5.26316
370,140,3.15789
360,50,1.05263
190,110,1.57895
80,60,1.05263
90,70,1.57895
290,60,7.36842
70,60,1.05263
210,190,3.15789
220,90,1.05263
80,60,3.68421
100,70,1.05263
70,50,1.05263
110,50,1.05263
450,180,4.73684
190,60,3.68421
190,40,1.05263
280,170,6.31579
240,130,1.05263
230,130,2.63158
210,60,3.15789
160,70,5.78947
110,80,4.73684
90,40,2.63158
90,70,1.05263
70,60,1.05263
130,40,1.05263
230,150,1.05263
250,50,2.10526
90,60,2.10526
190,90,6.84211
80,50,3.15789
250,70,1.05263
100,90,3.15789
110,60,2.10526
580,330,1.05263
120,60,6.84211
170,120,4.73684
250,180,2.10526
200,100,3.68421
150,90,2.10526
350,280,3.68421
230,160,2.63158
310,170,3.68421
160,100,2.10526
180,100,1.05263
150,80,2.10526
270,190,13.15789
200,50,15.26316
120,50,1.05263
90,70,1.05263
240,120,4.73684
130,90,2.10526
120,40,2.10526
50,40,1.05263
260,80,2.10526
260,50,3.68421
170,100,1.05263
190,100,5.78947
150,90,3.68421
140,100,2.10526
80,40,1.05263
230,40,2.10526
140,30,2.10526
110,60,1.05263
100,60,3.68421
110,40,1.05263
180,100,5.78947
110,60,7.89474
100,60,1.05263
50,30,2.10526
130,70,2.63158
130,80,3.15789
90,80,3.15789
160,80,1.05263
160,40,2.10526
160,80,8.94737
210,60,1.05263
260,200,10
180,70,1.05263
130,50,1.05263
130,100,3.68421
260,180,3.68421
130,80,1.05263
110,90,2.63158
180,40,16.31579
320,130,3.15789
180,100,4.21053
130,90,4.73684
180,120,3.15789
160,100,1.05263
120,70,2.63158
100,30,3.68421
210,130,2.63158
210,160,3.68421
330,40,2.10526
120,60,4.21053
90,60,3.68421
160,60,1.05263
230,100,5.78947
110,90,1.05263
270,150,2.10526
180,100,2.10526
330,110,1.05263
300,140,2.10526
280,190,6.84211
230,110,5.78947
100,60,3.15789
220,180,4.21053
80,30,1.05263
130,70,7.89474
120,60,3.15789
260,160,1.05263
100,60,1.05263
440,140,2.10526
340,110,2.63158
270,190,2.10526
160,120,7.89474
110,50,3.68421
540,70,4.73684
260,50,1.05263
210,60,2.63158
130,45,3.68421
100,60,2.10526
110,90,1.05263
130,110,1.05263
160,90,1.05263
60,40,1.57895
180,50,2.63158
300,100,2.10526
180,70,2.10526
190,50,2.10526
150,140,2.10526
190,100,5.78947
290,150,4.73684
90,70,2.10526
100,30,1.05263
290,150,1.05263
160,40,1.05263
80,50,1.57895
90,60,1.57895
390,210,5.78947
180,40,1.05263
180,130,1.05263
120,90,1.05263
190,80,1.57895
130,75,1.05263
240,35,1.05263
170,50,1.57895
600,280,3.68421
260,180,2.10526
220,200,5.78947
190,130,3.15789
90,80,1.05263
70,50,1.05263
80,60,1.57895
380,150,3.15789
100,80,1.05263
130,60,1.05263
150,90,4.73684
120,40,1.05263
130,90,2.63158
210,130,2.10526
170,110,2.63158
110,60,1.05263
290,100,2.10526
140,130,2.63158
290,120,3.68421
250,120,2.63158
110,90,3.68421
100,50,1.05263
180,160,1.05263
400,120,3.15789
260,200,4.21053
200,75,4.73684
160,90,1.05263
300,110,3.15789
370,150,2.10526
440,110,3.15789
250,40,1.05263
140,120,1.05263
140,120,4.73684
290,90,3.68421
200,120,1.05263
200,110,3.68421
190,70,1.05263
140,100,3.68421
110,60,2.10526
190,35,1.05263
230,90,1.57895
