Length,Width,Layer Number
520,380,21.57895
440,180,22.63158
180,150,8.94737
400,190,4.73684
820,250,15.26316
460,400,20.52632
460,200,7.89474
560,230,13.15789
470,250,10
200,150,3.68421
410,330,5.78947
260,200,2.10526
320,220,4.73684
440,270,13.15789
750,330,8.94737
690,250,17.36842
390,290,10
450,300,20
430,300,12.10526
390,250,10
640,530,17.36842
320,290,5.78947
1000,600,18.42105
550,520,10
800,250,36.31579
350,200,34.21053
850,500,7.89474
580,500,12.10526
540,230,14.21053
340,250,22.63158
350,200,10
440,180,4.73684
780,260,16.31579
340,280,15.26316
580,350,5.78947
640,200,11.05263
840,350,10
540,260,23.68421
590,380,8.94737
350,220,5.78947
490,380,10
500,300,16.31579
420,290,7.89474
650,300,24.73684
780,400,19.47368
500,220,11.05263
700,380,19.47368
1050,290,26.84211
490,250,8.94737
420,160,14.21053
400,280,6.84211
1200,550,20.52632
760,350,5.78947
640,200,12.10526
290,220,5.78947
1100,360,7.89474
530,280,37.36842
1600,650,12.10526
580,350,4.73684
440,300,5.78947
700,250,6.84211
540,300,11.05263
590,220,5.78947
620,420,8.94737
1050,800,6.84211
350,150,13.15789
660,380,7.89474
400,190,20
560,260,6.84211
950,550,42.63158
730,220,4.73684
330,230,5.78947
260,200,11.05263
820,450,7.89474
550,220,17.36842
240,200,5.78947
520,350,14.21053
640,290,13.15789
2200,270,6.84211
300,180,10
340,270,11.05263
520,250,18.42105
530,260,3.68421
280,200,7.89474
420,200,5.78947
550,480,5.78947
350,250,16.31579
590,480,6.84211
600,300,7.89474
1250,380,7.89474
710,180,26.84211
380,170,8.94737
640,400,13.15789
630,350,2.63158
1800,350,6.84211
420,300,7.89474
310,200,13.15789
440,250,27.89474
1100,400,28.94737
650,300,20.52632
730,400,10
650,430,13.15789
460,220,7.89474
430,280,15.26316
290,220,2.63158
560,300,10
1550,290,8.94737
420,180,10
320,220,5.78947
460,420,12.10526
230,130,2.10526
620,320,16.31579
1300,420,7.89474
800,200,18.42105
640,350,3.68421
600,350,10
380,190,6.84211
740,650,12.10526
390,250,12.10526
590,450,15.26316
330,290,17.36842
270,100,11.05263
300,100,10
800,480,11.05263
390,190,4.73684
450,380,15.26316
540,150,13.15789
660,320,12.10526
430,230,5.26316
580,300,8.94737
520,450,10
480,310,16.31579
510,280,33.15789
500,260,4.73684
1250,250,11.05263
400,200,25.78947
260,200,10
570,250,6.84211
720,250,22.63158
270,100,8.94737
360,200,5.78947
720,250,6.84211
320,260,16.31579
260,250,3.68421
540,290,11.05263
910,600,14.21053
520,200,27.89474
420,300,7.89474
1700,330,4.73684
1200,380,25.78947
580,260,20.52632
900,700,12.10526
950,650,8.94737
970,450,14.21053
880,500,8.94737
680,180,17.36842
430,200,8.94737
320,220,4.21053
560,430,18.42105
370,350,13.15789
350,250,10
640,450,11.05263
300,230,4.73684
700,250,21.57895
740,450,10
800,400,31.05263
380,200,15.26316
490,100,8.94737
700,220,12.10526
660,330,6.84211
370,200,12.10526
780,380,15.26316
520,200,7.89474
440,180,14.21053
600,380,11.05263
560,300,14.21053
630,290,11.05263
650,250,12.10526
920,200,8.94737
430,300,18.42105
900,400,13.15789
420,180,20
900,330,11.05263
1150,450,6.84211
700,250,20
630,380,13.15789
300,200,7.89474
460,280,8.94737
900,180,8.94737
520,230,17.36842
350,250,4.73684
840,330,6.84211
390,220,6.84211
880,360,35.26316
580,450,30
220,180,16.31579
920,640,7.89474
380,300,17.36842
530,330,5.78947
310,200,19.47368
490,270,24.73684
600,300,12.10526
460,320,32.10526
580,400,7.89474
430,230,6.84211
440,250,11.05263
600,270,4.73684
800,270,3.68421
780,330,6.84211
460,180,11.05263
840,290,4.73684
670,310,2.63158
440,380,4.21053
400,360,20
920,780,4.21053
710,350,15.26316
710,320,15.26316
980,330,6.84211
380,250,14.21053
640,450,17.36842
800,300,30
390,200,22.63158
810,150,14.21053
790,310,12.10526
330,250,5.78947
480,310,20.52632
640,400,13.15789
880,450,24.73684
