Length,Width,Layer Number
840,150,10
650,290,21.57895
530,180,4.73684
340,250,7.89474
1200,700,7.89474
1500,800,13.15789
1350,650,15.26316
510,350,7.89474
920,210,23.68421
640,190,4.73684
510,190,5.78947
650,380,22.63158
310,230,15.26316
540,450,11.05263
600,500,2.63158
700,450,17.36842
500,350,6.84211
1300,280,7.89474
670,300,8.94737
540,250,10
1000,350,4.73684
1050,500,14.21053
1100,400,8.94737
740,530,4.21053
480,330,7.89474
470,350,12.10526
770,350,25.78947
840,430,23.68421
730,280,7.89474
640,480,13.15789
900,380,6.84211
380,250,6.84211
310,250,8.94737
410,230,11.05263
530,180,20.52632
460,350,8.94737
480,250,5.78947
570,200,6.84211
570,230,10
500,400,16.31579
640,250,19.47368
350,150,13.15789
1100,640,19.47368
510,350,18.42105
420,300,15.26316
300,230,8.94737
560,220,8.94737
580,400,5.78947
620,280,2.63158
250,200,2.10526
690,280,5.78947
510,230,14.21053
710,330,12.10526
760,180,7.89474
420,180,34.21053
470,240,6.84211
540,350,14.21053
650,350,7.89474
500,350,2.63158
470,210,8.94737
350,150,7.89474
440,300,16.31579
470,300,21.57895
920,580,12.10526
640,400,11.05263
260,180,5.26316
540,330,20
420,250,7.89474
370,200,13.15789
340,280,28.94737
480,350,8.94737
390,380,3.68421
400,370,17.36842
360,220,5.78947
1150,600,10
720,300,19.47368
580,290,12.10526
230,150,10
460,300,12.10526
370,250,19.47368
1300,500,26.84211
750,550,16.31579
490,300,20.52632
540,370,3.68421
720,330,4.73684
360,200,10
590,230,5.78947
1450,800,16.31579
1400,600,11.05263
2500,1000,10
980,600,6.84211
