Length,Width,Layer Number
281.45735,125.63807,10.18617
448.54773,446.00378,10.19205
127.34697,153.15016,10.20175
424.93079,259.63839,10.20367
254.58504,97.99869,10.22528
170.25127,87.77917,10.26088
317.6895,221.17021,10.27997
133.90101,106.82448,10.30157
188.16334,154.49723,10.32687
145.0201,84.59846,10.3302
390.63723,174.93899,10.33972
476.95894,226.27977,10.34772
276.64377,166.90286,10.39422
411.38253,236.20512,10.4057
590.84371,200.29461,10.41319
430.05955,121.89708,10.45752
280.83371,195.94275,10.52401
262.6881,87.59448,10.5662
306.54287,196.99399,10.59043
325.89578,285.98716,10.63785
204.60223,169.37169,10.67775
402.43488,105.96334,10.73035
226.44383,162.44092,10.74277
201.61299,151.36691,10.79809
217.56801,95.39875,10.87277
344.49197,224.22407,10.89051
233.18883,131.70476,10.89944
162.70443,67.71442,10.90625
253.68024,188.87568,10.96185
188.77507,188.79645,10.98828
396.47304,205.68233,10.99911
331.0149,177.27046,11.01407
240.34637,185.64897,11.0881
392.56836,181.52523,11.11014
256.17396,165.67524,11.11352
225.05914,135.50279,11.17958
208.67306,59.43014,11.24758
163.02584,84.60665,11.25785
318.78859,154.26594,11.26692
252.99217,210.50711,11.34745
132.16881,69.53254,11.35938
169.72276,115.11983,11.39612
142.25694,92.97062,11.48205
244.22582,159.66999,11.50567
289.23129,199.86654,11.52437
389.97259,210.10561,11.55092
144.96246,114.30065,11.59736
305.50338,149.35329,11.61963
274.39278,179.28964,11.6223
209.2971,87.58011,11.65085
455.25499,236.2736,11.68503
303.27525,129.1179,11.70713
358.39012,80.31554,11.71007
104.51037,67.68002,11.71026
244.83603,142.85014,11.73601
261.72068,214.20214,11.77197
213.68894,146.26558,11.77797
214.66968,113.92154,11.89316
223.11115,59.11522,11.97463
215.2524,238.46029,11.98509
206.4708,114.63042,11.99978
217.3821,163.3428,12.00058
433.79155,96.19604,12.10829
293.59225,193.74578,12.12774
264.04446,117.37309,12.1867
243.7468,165.75434,12.19635
687.18813,157.27941,12.19915
179.65784,75.84547,12.21216
210.09477,150.74699,12.22143
382.65509,321.49386,12.24844
241.7779,151.19549,12.27163
396.59735,166.49333,12.28773
410.65825,212.4517,12.32129
303.32883,200.08265,12.33373
181.17598,152.92976,12.34217
132.52506,107.54108,12.34538
124.0048,83.10432,12.35226
198.06716,119.85234,12.40222
203.74892,189.91381,12.47387
295.39558,82.02165,12.5748
358.8006,335.18651,12.72327
266.46242,143.39197,12.79982
312.20014,121.08067,12.8473
289.44669,240.46731,13.01037
348.75225,226.79236,13.079
244.13005,137.63399,13.09552
232.8369,148.09239,13.23312
158.31223,149.00906,13.37364
193.47214,144.87628,13.55344
260.1208,186.75571,13.61465
270.22258,206.06598,13.6588
