Length / nm,Width / nm,Layer Number
53,40,1.57895
135,40,1.57895
75,60,1.57895
35,25,1.84211
90,70,1.84211
27,25,1.84211
140,130,1.84211
80,55,1.84211
67,45,1.84211
95,78,1.84211
35,30,1.84211
27,20,1.84211
125,70,1.84211
58,35,1.84211
60,40,1.84211
95,55,1.84211
40,20,1.84211
40,25,1.84211
55,38,1.84211
50,45,1.84211
37,30,1.84211
90,65,1.84211
60,40,1.84211
70,35,1.84211
70,60,1.84211
55,40,1.84211
68,40,1.84211
75,45,1.84211
55,35,1.84211
35,30,1.84211
70,50,1.84211
35,20,1.84211
67,35,1.84211
40,32,1.84211
40,35,1.84211
65,50,1.84211
60,35,1.84211
30,25,1.84211
55,40,1.84211
35,30,1.84211
60,30,1.84211
35,25,1.84211
27,25,1.84211
90,35,1.84211
70,50,1.84211
40,30,1.84211
90,40,1.84211
35,25,1.84211
42,25,1.84211
47,38,1.84211
65,60,1.84211
20,17,1.84211
50,42,1.84211
40,35,1.84211
45,35,1.84211
60,40,1.84211
47,35,1.84211
65,35,1.84211
40,30,1.84211
47,25,1.84211
65,25,1.84211
140,95,1.84211
55,40,2.10526
73,38,2.10526
75,40,2.10526
50,35,2.10526
50,35,2.10526
40,22,2.10526
30,20,2.10526
140,100,2.10526
40,35,2.10526
55,35,2.10526
42,35,2.10526
60,20,2.10526
55,30,2.10526
80,40,2.10526
100,58,2.10526
60,30,2.10526
67,48,2.10526
100,40,2.10526
80,28,2.10526
62,35,2.10526
80,45,2.10526
130,100,2.10526
90,55,2.10526
50,25,2.10526
65,40,2.10526
85,35,2.10526
58,42,2.10526
90,45,2.10526
70,40,2.10526
90,60,2.10526
45,40,2.10526
53,40,2.10526
135,65,2.10526
75,32,2.10526
60,40,2.10526
130,60,2.10526
32,28,2.10526
40,35,2.10526
70,60,2.10526
48,30,2.10526
45,35,2.10526
85,65,2.10526
90,53,2.10526
35,30,2.10526
27,23,2.10526
60,37,2.10526
32,28,2.10526
80,40,2.10526
78,65,2.10526
160,35,2.10526
60,40,2.10526
27,20,2.10526
37,25,2.10526
130,80,2.10526
80,35,2.10526
47,30,2.10526
27,20,2.10526
45,30,2.10526
60,27,2.10526
45,35,2.10526
45,35,2.10526
200,135,2.10526
55,24,2.10526
70,40,2.10526
80,40,2.10526
40,35,2.10526
60,40,2.10526
65,35,2.10526
85,47,2.10526
50,40,2.10526
40,35,2.10526
55,35,2.10526
50,30,2.10526
65,58,2.10526
50,40,2.10526
115,25,2.10526
90,45,2.10526
90,80,2.10526
120,45,2.10526
65,60,2.10526
50,40,2.10526
55,45,2.10526
90,50,2.10526
47,40,2.10526
55,30,2.10526
100,32,2.10526
24,22,2.10526
260,75,2.10526
50,37,2.10526
40,30,2.10526
55,30,2.10526
230,200,2.10526
70,60,2.10526
40,38,2.10526
75,35,2.10526
110,50,2.10526
130,78,2.10526
65,30,2.10526
40,30,2.10526
27,20,2.10526
95,60,2.10526
95,37,2.10526
50,47,2.10526
160,75,2.10526
22,18,2.10526
90,50,2.10526
45,35,2.10526
68,44,2.10526
25,23,2.10526
25,20,2.10526
90,60,2.10526
55,35,2.10526
65,50,2.10526
75,70,2.10526
55,50,2.10526
40,35,2.10526
67,45,2.10526
130,65,2.10526
100,90,2.10526
35,20,2.10526
48,40,2.10526
70,32,2.10526
60,55,2.10526
80,65,2.36842
45,35,2.36842
100,50,2.36842
120,45,2.36842
