Length / nm,Width / nm,Layer Number
39.07286,21.71253,2.62403
63.46043,29.67392,2.62682
124.87709,47.21973,2.62701
23.75901,12.88868,2.62768
61.63676,15.54297,2.63769
21.40911,16.20668,2.64524
72.54889,25.29798,2.66417
96.10057,33.33179,2.66693
96.2772,63.56989,2.68172
56.40184,19.30653,2.70634
41.40931,29.63599,2.71601
30.68994,12.28096,2.72572
134.16123,38.83124,2.73264
41.28041,14.97879,2.73384
240.21059,51.77923,2.74522
55.03836,15.86976,2.79053
19.51817,22.74668,2.80347
43.22448,32.79683,2.80793
164.99347,31.81702,2.81118
47.71597,12.2574,2.84006
68.07256,48.50514,2.84392
64.63944,43.70293,2.87994
36.18061,4.39865,2.88243
72.39255,16.58469,2.89753
31.54995,16.85809,2.91047
75.14352,24.65335,2.91517
77.97712,54.78309,2.92332
81.84483,19.47623,2.9268
34.98426,21.16302,2.92685
47.52645,12.98064,2.93247
43.93152,24.34403,2.93546
39.91158,23.63137,2.94355
53.92517,33.30173,2.94428
38.10523,19.00935,2.95679
75.26707,35.88326,2.97135
107.71311,54.83484,2.97722
86.12294,67.49003,2.99551
38.02617,37.62188,3.00815
112.23814,30.06972,3.01326
63.92774,29.8757,3.02595
58.06923,33.7221,3.02627
37.77977,25.54448,3.03989
33.64259,21.57894,3.04983
71.47704,34.21111,3.05025
86.84131,30.33994,3.08642
73.67619,44.44478,3.10154
88.84136,35.19018,3.10278
90.48716,39.68669,3.11297
22.62032,26.80944,3.12298
56.06658,15.37103,3.16447
67.32373,24.69938,3.17224
37.02223,36.32239,3.19338
70.33314,47.46988,3.20417
52.24744,19.45979,3.22802
50.30474,18.01473,3.23083
53.06284,46.46095,3.24376
88.07129,27.11997,3.25896
75.00107,25.47155,3.26637
57.03647,22.54843,3.2886
76.9409,29.80102,3.30613
71.58807,13.42678,3.31343
48.17587,5.14307,3.32875
98.86069,50.32392,3.3328
53.36162,44.2382,3.33631
32.36794,10.66112,3.34632
53.16199,29.68319,3.36385
53.73974,60.30696,3.37732
44.74797,25.01838,3.38937
83.49135,47.75225,3.40666
143.77766,46.81754,3.45862
65.65129,27.53182,3.46663
49.92612,30.61402,3.47388
98.97243,19.86653,3.49464
33.87532,30.28089,3.50062
60.00949,44.13239,3.50514
83.51228,35.92762,3.51843
150.6031,41.78242,3.52502
76.82205,13.55244,3.53158
76.38403,14.15432,3.54092
84.27227,26.3945,3.55689
44.38593,23.81349,3.61845
33.30096,18.59612,3.6583
30.97157,21.56008,3.77111
52.07185,22.31634,3.84753
71.16893,21.45967,3.93118
160.51765,18.88079,3.93577
63.16987,26.08816,3.95644
94.94665,32.77989,4.07859
68.2401,55.59353,4.16645
68.64132,29.39111,4.20763
69.92155,38.24622,4.21533
72.19738,45.26499,4.26195
64.18338,30.34536,4.42264
50.27764,29.60829,4.51498
70.08727,43.1253,5.54009
100.04999,66.83979,5.86798
60.25746,21.63466,5.93166
83.935,67.29451,6.0422
132.30038,74.59172,7.42409
