Length / nm,Width / nm,Layer Number
19.36676,13.52397,0.82853
41.08963,24.61371,0.83207
18.47871,9.3468,0.83442
53.11833,10.73992,0.84135
16.92905,5.30777,0.84577
13.13294,5.76423,0.84822
24.15464,19.88351,0.8519
7.7619,5.21584,0.85317
18.705,7.59198,0.86465
17.76736,7.7924,0.88876
43.5476,17.31076,0.89314
25.42404,12.84243,0.89704
64.88739,10.18281,0.89796
62.52667,33.74092,0.90028
55.34499,4.27076,0.91121
69.07609,1.18245,0.9118
24.78713,13.64069,0.91576
30.13655,10.6491,0.92193
34.9014,15.40706,0.92216
45.06015,20.72563,0.92941
23.84918,18.37286,0.93402
16.17981,15.25068,0.93681
60.84787,33.64737,0.9369
23.34857,10.2617,0.94266
41.68221,1.29895,0.94331
38.26144,2.17896,0.95371
34.83336,15.9785,0.96424
23.25968,8.74981,0.97308
38.50685,10.0742,0.98144
18.84546,5.17837,0.98536
45.88808,10.09645,0.99486
65.05282,30.24925,0.99964
38.7024,10.62548,1.00946
66.48564,34.6278,1.01645
34.36777,20.84651,1.01882
16.71437,6.69796,1.02141
28.16415,13.02462,1.02714
52.00851,7.94498,1.03238
24.16192,8.74505,1.03921
36.7381,6.90617,1.04921
57.9155,15.98521,1.06405
47.99795,26.44285,1.06789
39.45056,21.97393,1.06846
19.47496,7.76768,1.07181
83.11941,18.91201,1.08271
44.84729,8.52424,1.08987
20.06092,16.27429,1.09226
41.59349,16.90543,1.09404
24.31053,5.84853,1.10172
43.73805,16.69302,1.10944
29.90376,13.18167,1.12855
40.54735,9.2287,1.12988
80.20818,44.43446,1.13376
45.25288,18.96071,1.13576
31.02164,10.23028,1.14035
23.77736,16.05616,1.14534
30.50747,20.56139,1.14768
21.28532,18.58573,1.15253
20.62855,4.7121,1.15497
46.56329,12.60197,1.16023
20.8171,8.35007,1.16377
36.82034,23.34515,1.16579
24.78425,13.14767,1.16759
24.64414,9.23877,1.17379
19.72755,18.25674,1.17643
15.37355,8.6934,1.17971
42.08324,24.93282,1.18205
45.31738,18.17399,1.18266
17.84637,5.06495,1.18278
20.37608,7.89675,1.19059
24.45677,7.39829,1.19217
52.23608,23.67988,1.19343
46.58896,18.48557,1.19844
55.17708,4.20237,1.19849
25.34909,24.05638,1.19886
27.10791,8.2967,1.2046
33.77895,20.98857,1.21587
21.96357,4.94436,1.22063
22.98678,10.36336,1.22298
16.48558,4.93021,1.22337
29.10627,15.87547,1.22514
125.78514,16.98679,1.22835
24.4683,4.21044,1.23
10.72335,5.31371,1.23521
37.17089,16.40888,1.2364
36.22312,9.80181,1.23819
23.81825,7.71184,1.23968
34.06066,8.89519,1.24664
24.9618,5.33557,1.24684
35.11309,2.19642,1.24712
33.59322,20.31931,1.25637
51.8471,8.19965,1.26133
25.38978,9.16808,1.27361
27.15437,7.05666,1.27527
23.04955,10.52452,1.27692
13.18412,6.49969,1.27794
30.14149,16.28971,1.28039
27.93738,18.53984,1.2828
26.23047,7.55089,1.2834
38.15468,17.7053,1.28794
16.30029,12.38821,1.2895
23.86282,9.33427,1.29019
20.46926,9.45853,1.29056
28.7727,12.33973,1.2937
27.64887,12.74643,1.29637
33.51646,12.73711,1.29662
34.71969,5.88213,1.29753
19.27245,18.013,1.30017
15.41099,7.17296,1.30467
23.02798,18.54504,1.31178
14.62616,9.92724,1.31297
45.25357,16.34318,1.31781
35.21824,14.49543,1.32103
48.38383,9.57095,1.32477
27.97877,10.83331,1.32606
21.56307,4.88509,1.33079
30.33241,12.49187,1.33805
36.32835,19.05471,1.3388
20.8989,20.6915,1.34303
14.03619,3.5306,1.34569
25.91078,2.21729,1.3457
40.1933,16.61152,1.34899
10.75735,7.98916,1.35665
27.12825,16.37687,1.35761
39.66353,20.98486,1.35988
23.41146,21.19042,1.36873
58.72471,6.94633,1.37308
33.86926,24.06999,1.37319
42.3025,11.00141,1.37962
16.40374,10.21124,1.38098
20.10792,5.16578,1.38275
63.4082,25.32113,1.38282
33.41274,12.41664,1.38432
71.82628,26.58702,1.38548
27.65942,8.12573,1.38626
21.06553,13.83546,1.38886
35.72877,11.23128,1.39645
25.16894,14.37913,1.39858
30.42598,16.00846,1.40341
29.84613,22.59821,1.40682
41.7206,7.71047,1.40737
45.19652,13.28303,1.40809
24.03712,10.74497,1.41414
24.35658,11.86401,1.41445
17.96845,14.54545,1.41457
27.24078,10.03669,1.41569
20.83393,10.85302,1.41646
21.80511,1.64513,1.42681
24.07073,22.45256,1.44122
28.32089,8.63014,1.44275
26.43756,22.73871,1.4475
23.57334,4.34366,1.44751
27.93273,22.48802,1.45058
24.7827,2.49778,1.45085
35.05886,27.76922,1.45471
51.71481,7.68931,1.45566
22.47432,8.67793,1.46346
46.53685,16.42967,1.46877
34.85016,18.90818,1.469
24.99276,11.18785,1.47042
72.44098,16.37126,1.48142
18.45582,16.83043,1.48219
34.49847,5.41599,1.49058
25.33858,12.88662,1.4911
27.79896,14.11222,1.50354
28.47773,24.17129,1.51097
18.32321,10.9978,1.5121
45.50941,13.47783,1.51456
26.62764,20.23585,1.51464
24.24005,4.06049,1.51529
18.9983,13.61607,1.51656
21.56787,7.50812,1.51764
15.70445,13.06038,1.51812
18.50677,4.64169,1.51932
43.10681,18.46856,1.51986
30.41064,20.83968,1.52415
30.52557,7.87528,1.52828
37.69878,12.11527,1.52853
44.52111,4.4941,1.53545
64.83009,7.29138,1.53629
42.47771,20.3418,1.53667
18.35746,10.41637,1.53856
50.94518,20.83596,1.53867
18.65544,9.62182,1.54456
19.70285,11.54385,1.54747
22.70618,18.67329,1.5572
21.89083,11.3635,1.57337
18.64682,6.5961,1.58279
13.08161,9.9864,1.59809
51.27183,35.36142,1.60392
22.23344,16.67582,1.60551
21.67417,19.42034,1.61223
22.15763,19.38482,1.62201
21.12206,9.70346,1.62513
35.03153,10.44953,1.62589
21.76632,10.99469,1.62706
47.57592,8.25264,1.63518
14.89038,12.50368,1.64309
27.66687,7.55328,1.64436
27.14,13.18818,1.64573
14.20423,9.52179,1.64651
21.95913,5.65793,1.65425
22.2133,10.01502,1.65436
33.83548,8.38086,1.6573
32.7943,12.80257,1.65896
37.77014,7.66115,1.66545
18.99614,10.02028,1.66807
22.59809,13.08606,1.66918
24.90569,10.02624,1.67354
31.97789,25.0213,1.6905
24.42195,13.43315,1.70123
23.93809,16.21985,1.71077
60.5074,18.93938,1.7113
18.32654,15.40829,1.71136
22.29085,5.16592,1.71363
22.18271,18.7823,1.71712
28.17123,17.06996,1.7294
20.67942,8.81117,1.72975
35.97718,18.13556,1.73297
17.89975,10.33455,1.73368
28.86382,7.57087,1.7351
32.74763,13.52344,1.73629
18.0956,16.82449,1.73631
41.27338,10.91355,1.73716
27.2366,8.95067,1.73955
40.03567,9.04187,1.74322
17.12656,13.89492,1.74548
53.12048,18.64625,1.75704
84.78361,21.05001,1.7574
40.81376,18.49831,1.76037
47.23698,25.11518,1.77615
28.92155,13.09324,1.77861
25.47999,10.69032,1.80828
49.97582,21.68041,1.82124
41.8439,5.45357,1.82735
26.77652,10.91294,1.82914
17.17517,13.00084,1.83061
52.23969,26.60589,1.83386
28.11918,13.64028,1.85206
23.66547,10.31288,1.85333
23.70346,11.36165,1.86851
29.48011,16.76573,1.88038
20.15987,10.07286,1.88506
34.90182,19.70023,1.88905
16.71829,10.85991,1.89249
39.90274,14.74668,1.89507
44.44188,13.22032,1.90227
22.17951,3.39351,1.90428
25.74806,20.5854,1.92573
19.57829,8.7392,1.93959
29.70873,7.81777,1.94109
31.69553,25.0544,1.94133
39.25761,31.22836,1.94961
20.15962,14.64517,1.95111
23.76513,10.68,1.95783
59.12212,37.43903,1.95973
22.66837,15.54844,1.96034
23.29139,10.73992,1.96213
51.50542,15.01484,1.96245
27.38721,12.56529,1.96278
45.01429,17.87475,1.96537
24.00271,13.04994,1.96583
27.91347,12.64339,1.96709
21.66241,16.01031,1.97383
22.10082,13.50702,1.9777
28.14399,13.57942,1.97771
39.01261,15.63964,1.98505
41.06518,7.61015,1.99326
45.36838,12.93735,2.00284
33.98665,12.04829,2.004
22.2729,8.69217,2.01065
33.39483,16.33325,2.01749
41.64533,21.94661,2.02037
40.95041,13.67804,2.03099
27.22554,22.27767,2.03317
32.50875,20.50526,2.03772
33.39717,14.67706,2.04541
47.7903,33.6407,2.04761
28.41998,24.10179,2.05902
44.95653,15.98052,2.06218
32.84914,18.09351,2.06468
46.17964,18.34141,2.06504
24.21132,18.73055,2.07854
29.53989,10.83583,2.08102
29.06358,13.41787,2.08407
19.72378,10.8116,2.09816
24.05898,21.2134,2.09952
73.74883,29.79886,2.12313
21.67577,10.83837,2.12975
23.01236,7.61239,2.14615
64.57764,21.48127,2.17306
18.58448,15.93525,2.17663
27.33433,10.61155,2.18811
30.56566,11.52763,2.18888
42.97748,24.77805,2.20681
21.41128,13.45028,2.21601
28.20859,9.70111,2.23493
32.34102,13.4931,2.24408
39.93251,12.55203,2.25799
59.89938,16.94753,2.26467
44.19862,15.64813,2.2698
18.81524,9.71306,2.30174
25.14327,14.60083,2.30869
38.98884,25.35058,2.31405
18.68394,7.32355,2.32623
26.62801,24.85735,2.33156
23.32151,12.83162,2.34436
31.19226,7.77222,2.34848
43.7903,18.47824,2.37666
30.68774,18.73342,2.42556
51.47663,29.53734,2.42705
37.99915,18.5885,2.44075
24.32125,19.63943,2.4582
37.71427,22.82937,2.46267
42.92636,18.34141,2.53103
34.25524,16.66157,2.54682
28.06182,12.13428,2.54833
41.78295,21.24486,2.56279
29.91978,23.16704,2.60137
64.69854,16.48277,2.63716
47.44075,15.19641,2.64969
23.76057,12.30541,2.68423
38.70661,16.83609,2.73866
29.85628,18.09268,2.91926
47.48127,26.67462,3.19861
45.44742,23.12612,3.22083
40.80275,35.6978,3.34379
38.95183,26.71506,3.36245
36.12698,16.78575,3.46799
49.31232,27.63816,3.64278
