Length / nm,Width / nm,Layer Number
19.9902,10.41313,0.79693
31.95271,9.01315,0.79827
13.32028,10.17545,0.80135
10.8352,6.55951,0.80284
33.76609,6.17559,0.81074
25.9292,12.01048,0.81206
66.17068,23.3429,0.81467
29.94929,5.35157,0.82048
15.68136,12.9511,0.82482
26.61376,8.5686,0.82613
16.86491,10.75619,0.82673
25.70643,5.10611,0.83328
38.27332,13.36547,0.83422
20.43155,7.63498,0.83471
28.18072,15.99102,0.8534
35.29036,16.17979,0.85739
18.13829,0.15702,0.86003
27.19324,9.6987,0.86322
19.39329,3.08463,0.86604
23.32242,8.16664,0.87404
18.27643,11.9361,0.88787
19.06788,2.38936,0.89104
22.07078,11.11459,0.90734
29.58368,2.60772,0.90913
45.70997,2.50413,0.91546
16.10513,1.85866,0.92249
38.55367,9.74916,0.92352
57.47228,30.93596,0.92398
14.25652,6.83214,0.92566
29.74893,9.80956,0.92647
29.23034,9.72949,0.93282
13.68146,10.95677,0.93714
16.33576,7.40829,0.95328
45.38942,4.81639,0.9578
17.47153,2.16836,0.95882
38.85834,10.41835,0.95925
21.39471,2.38205,0.96073
19.79617,13.72268,0.96531
41.63186,19.71956,0.96971
35.79234,18.56666,0.9729
21.88789,8.0524,0.97375
30.658,7.93124,0.97665
21.19769,2.84722,0.97975
39.41965,4.56644,0.98067
24.05548,13.75777,0.98817
24.16813,12.47335,0.99026
17.27151,13.99549,0.99039
45.05278,16.14939,0.99416
21.93179,10.98397,0.99708
8.4451,8.13621,1.00252
21.65356,9.0797,1.00526
18.12046,4.06962,1.00656
18.30588,5.96363,1.00758
14.62105,5.69074,1.01296
12.39909,10.89731,1.01339
28.04392,13.46655,1.01577
33.79589,13.21822,1.01648
17.95046,12.01048,1.01727
18.15099,14.26433,1.02143
40.00476,11.31442,1.02277
73.17446,51.83552,1.02431
16.19195,5.41214,1.02913
29.34998,16.37732,1.03193
13.50854,6.77064,1.03947
15.48596,9.28873,1.04083
31.3388,5.37751,1.0442
22.17168,9.52809,1.04759
25.62239,9.97571,1.04827
19.49683,6.03648,1.04916
23.20931,14.0877,1.05185
30.12734,8.73525,1.05485
30.29013,4.89895,1.05599
26.33128,20.85158,1.06369
29.18325,0.60081,1.06395
27.21331,3.98804,1.0652
14.95379,8.49995,1.0655
33.93256,26.57796,1.06758
24.92204,11.40226,1.0698
27.29337,15.77012,1.07199
50.40162,10.84283,1.0754
40.87402,10.7751,1.07941
32.3504,13.79267,1.08777
29.12559,22.61207,1.08781
24.58286,7.07865,1.09103
15.37039,13.62747,1.11055
26.22844,17.08913,1.11271
16.92797,7.69206,1.11376
24.60419,17.9331,1.11583
45.33615,15.17717,1.12253
19.28781,7.69598,1.12428
19.01409,6.96471,1.12674
67.22614,2.92917,1.12696
37.36566,10.10261,1.12918
31.69765,7.0161,1.13239
52.43385,15.58846,1.13439
29.82177,5.42529,1.13914
33.79289,9.72466,1.14735
12.56042,2.23614,1.14937
48.21184,10.46693,1.1538
24.91733,5.85295,1.15532
15.42538,8.04096,1.15688
13.98929,5.3405,1.15949
39.84053,9.22442,1.16222
16.25614,6.60177,1.16531
28.59688,6.40703,1.17119
19.10281,5.96893,1.17194
24.5576,13.75548,1.17214
38.62422,18.78242,1.17599
38.06766,10.18708,1.18224
37.5295,26.95502,1.18225
45.58037,14.68521,1.18669
25.38332,14.49596,1.18918
32.54143,20.06092,1.1931
28.4023,17.53144,1.19394
31.73288,16.16177,1.19785
21.86928,14.61702,1.20069
22.66685,13.67115,1.20162
29.70923,12.47601,1.21326
21.8468,7.2445,1.21506
22.63231,6.36751,1.21844
66.06331,5.18324,1.22248
49.26585,18.14633,1.22331
29.75372,11.81362,1.23071
20.83686,12.46748,1.24382
34.49099,34.08597,1.2463
53.38705,18.45214,1.24646
18.37678,6.21287,1.24875
19.5772,4.72707,1.2496
32.78108,26.82869,1.25131
31.18022,8.97947,1.25981
18.77925,3.57164,1.25998
18.86055,6.58623,1.26628
16.24451,12.3265,1.26744
44.31454,26.74762,1.268
24.93263,5.61058,1.27026
36.65175,11.38952,1.27826
46.40082,13.38446,1.29871
21.18825,14.12062,1.30359
10.0515,4.5432,1.30695
45.7506,15.81348,1.30699
26.68253,13.30845,1.30725
15.87179,4.64538,1.30768
28.51966,18.7495,1.30933
26.52845,4.76446,1.31218
13.89554,5.85317,1.31248
28.13551,9.98459,1.33078
17.69654,10.75093,1.33468
32.75936,2.531,1.33655
18.63324,6.97538,1.3418
22.07152,6.05405,1.34874
53.01507,25.81448,1.34916
16.3603,9.42946,1.35621
38.04986,24.58692,1.35724
32.78903,27.84786,1.35807
8.49303,5.73508,1.36928
37.01477,7.70863,1.37787
27.54832,15.05662,1.37997
16.56875,9.24107,1.38034
17.66572,10.91806,1.39993
11.41309,7.20485,1.40313
68.99887,3.12808,1.40751
15.69713,5.4997,1.40815
