Length / nm,Width / nm,Layer Number
190.53107,106.88746,7.58869
160.27382,81.83753,7.60577
205.05977,79.40717,7.62358
98.69164,68.80039,7.63023
243.90315,151.63341,7.63866
198.71009,85.52442,7.66611
221.45263,56.13653,7.76692
156.45883,79.68383,7.79522
230.03046,160.51053,7.8113
190.24121,163.57618,7.85049
211.52666,118.06659,7.85187
330.1063,165.99788,7.96046
189.36734,160.18252,8.01909
226.51991,151.49185,8.0817
168.44628,140.38011,8.08582
209.77498,130.92145,8.10778
295.47583,196.08889,8.2708
194.89143,105.30511,8.38381
196.97554,120.39833,8.5333
150.76895,99.19549,8.53451
289.18208,125.84954,8.61136
212.98714,165.86471,8.85748
250.00042,172.09213,8.88193
192.09092,78.69714,8.94177
139.98566,67.83466,9.04099
199.10615,105.47493,9.07928
249.55795,87.92438,9.0801
199.57883,86.59131,9.21099
394.67204,170.69733,9.23074
187.89402,120.69723,9.23288
392.41321,49.7226,9.33947
167.85964,93.87058,9.34968
140.96741,61.18565,9.46992
218.92693,87.157,9.47017
118.40233,71.34087,9.52705
265.59637,171.28669,9.59953
167.67189,77.85284,9.64487
158.16755,96.95647,9.64895
171.02605,139.93206,9.74243
199.54605,110.50937,9.7535
412.61955,271.11989,9.75781
155.825,88.61253,9.79275
208.34191,165.6803,9.82085
215.93591,90.93015,9.88186
212.81411,176.07903,9.90244
197.55579,135.64712,9.91457
243.68247,212.41968,9.921
335.94546,209.25313,9.94203
246.97426,119.75835,9.96011
140.27515,88.5306,10.05745
241.93679,172.55254,10.15139
186.60601,172.76256,10.26874
102.83157,73.41905,10.33462
289.93662,237.24025,10.44087
149.9969,107.39434,10.55025
514.07895,392.61245,10.57504
215.76451,106.92297,10.63279
331.09004,234.60929,10.66357
448.40563,295.29784,10.71119
105.84224,66.41426,10.74319
203.34831,138.70934,10.76167
407.14152,139.86629,10.83798
127.28759,93.98781,10.87704
241.63536,205.01752,10.9735
357.62479,79.02603,10.9935
362.19177,79.14834,11.1302
234.6237,189.32807,11.13555
178.0272,96.41546,11.21544
281.90451,189.13566,11.21553
253.34771,163.40725,11.32207
226.99782,141.34024,11.32207
136.14542,134.76873,11.38762
157.95269,156.50717,11.38762
189.72645,133.44906,11.45573
214.21277,155.12151,11.45573
238.50938,145.69071,11.48335
212.86608,124.46734,11.48335
156.8843,85.14772,11.60999
179.72851,104.40511,11.60999
193.00103,94.80992,12.07011
