Length / nm,Width / nm,Layer Number
55.06342,21.76807,5.13835
88.2262,54.74956,5.17565
150.26015,78.66866,5.19581
106.41721,55.66674,5.21278
115.77518,40.30968,5.25193
81.85126,45.25787,5.27752
201.65312,121.70002,5.28433
136.0579,76.37384,5.28921
72.18944,42.54239,5.32038
207.12734,105.88194,5.35923
95.95995,63.50452,5.39897
97.8421,53.18711,5.41485
156.35263,85.73071,5.42191
191.86873,88.22329,5.44951
74.77638,36.53752,5.45137
77.25199,79.26098,5.49794
119.98862,48.15379,5.50472
77.04503,22.47302,5.53172
120.26964,68.65997,5.57531
136.32728,55.23214,5.58512
130.44894,57.98239,5.60222
193.62181,137.91784,5.61411
189.67338,63.59112,5.64109
68.05435,50.58255,5.70857
190.34434,46.67169,5.74637
66.87563,41.45653,5.75225
55.83747,51.53333,5.75357
311.6221,109.53683,5.76086
199.70046,154.33003,5.77833
91.37558,46.76018,5.78578
153.82763,68.76069,5.79508
58.60794,41.13828,5.87673
101.86401,46.69117,5.99474
166.04524,58.94298,6.0106
49.78236,23.33635,6.05728
83.41355,69.82694,6.0656
91.58237,61.12545,6.0674
78.54014,43.1086,6.0879
110.29972,39.86974,6.15639
74.76034,30.75262,6.16173
155.6004,103.75446,6.18577
175.8928,97.28239,6.22962
110.66562,58.64855,6.35251
79.60924,50.18572,6.37494
103.61848,79.28627,6.42101
59.39744,27.53203,6.4331
135.34025,50.84713,6.52231
168.08908,90.5303,6.5826
169.4299,95.77908,6.59544
87.66932,53.27028,6.63911
115.10153,31.6787,6.87069
67.57752,65.69576,6.96264
109.72161,31.71421,7.03424
91.51192,68.18855,7.04467
98.08562,88.53059,7.05031
100.37661,94.61032,7.1028
125.72188,68.12281,7.19788
105.22604,14.74036,7.23088
375.12096,89.93812,7.25873
112.02576,85.4171,7.26324
86.19416,58.98248,7.45674
256.22531,159.83383,7.50948
95.97132,51.64902,7.62873
175.12589,65.50646,7.83462
46.53607,30.46522,7.84328
164.68179,130.95095,7.98498
170.17884,91.08901,7.98935
106.18097,80.96063,8.19421
74.00939,51.14524,8.29464
178.11476,91.54397,8.4296
116.31589,26.61916,8.62132
111.67586,104.71813,8.82388
84.33859,68.81484,9.0902
87.04225,56.43299,9.12988
127.2608,97.32922,9.1422
157.2983,80.98473,9.35349
77.91041,44.61599,9.7694
115.18192,47.84745,10.17773
164.02515,51.28769,10.21405
196.92481,64.74488,10.52541
126.20194,102.80334,11.05577
165.24032,72.5795,11.92259
155.81156,96.43316,12.77046
156.45916,86.29867,15.17419
85.90136,48.39521,29.79484
