Length,Width,Layer Number
760,250,4.73684
350,270,3.68421
550,280,5.78947
320,210,3.68421
520,280,11.05263
500,250,7.89474
610,500,5.78947
270,130,15.26316
380,180,5.78947
550,250,6.84211
160,120,8.94737
640,280,7.89474
510,280,4.73684
480,180,12.10526
490,170,6.84211
420,150,2.63158
540,320,2.10526
840,250,7.89474
540,320,6.84211
1350,350,6.84211
370,250,13.15789
160,120,5.78947
230,190,3.68421
640,150,5.78947
200,160,2.10526
290,50,7.89474
320,200,8.94737
360,150,7.89474
310,140,8.94737
340,220,3.68421
350,140,3.15789
250,180,3.68421
400,130,15.26316
380,320,19.47368
540,210,12.10526
210,150,2.63158
280,180,6.84211
350,320,7.89474
640,300,3.68421
540,450,21.57895
420,200,8.94737
290,120,3.68421
160,120,1.05263
540,290,12.10526
310,130,4.73684
160,130,3.68421
250,50,3.15789
400,380,10
900,220,7.89474
640,280,11.05263
380,130,4.73684
400,210,3.68421
440,280,5.78947
350,130,5.78947
180,100,14.21053
640,250,3.68421
350,230,22.63158
1000,300,15.26316
650,450,7.89474
440,240,7.89474
500,160,5.26316
260,200,2.10526
430,330,13.15789
250,130,3.68421
380,80,10
390,100,2.10526
620,200,7.89474
380,150,8.94737
260,150,3.68421
500,60,1.05263
170,100,1.57895
270,130,1.05263
180,120,2.10526
170,100,7.89474
270,130,4.73684
220,50,2.10526
610,450,4.73684
300,170,2.63158
210,180,5.78947
700,140,7.89474
600,130,3.68421
430,230,11.05263
280,220,5.78947
360,290,4.21053
950,280,10
280,120,5.78947
500,230,16.31579
550,230,12.10526
490,430,5.78947
340,50,20.52632
230,150,8.94737
480,350,21.57895
480,150,18.42105
580,530,17.36842
320,180,5.26316
700,420,2.63158
600,250,6.84211
450,430,4.73684
450,430,4.21053
320,300,6.84211
110,80,6.84211
100,80,4.73684
120,40,2.63158
450,230,3.15789
120,90,6.84211
210,120,2.63158
280,230,3.15789
310,90,4.73684
320,180,5.78947
380,250,8.94737
600,520,4.73684
720,160,6.84211
220,180,5.78947
230,130,4.73684
700,270,3.68421
180,150,1.05263
310,180,5.78947
250,90,4.73684
150,130,4.73684
200,80,6.84211
600,170,3.15789
760,250,4.21053
450,200,5.78947
460,150,3.15789
270,190,4.73684
230,130,7.89474
230,180,6.84211
130,90,11.05263
530,320,10
490,200,8.94737
530,290,5.26316
260,200,6.84211
500,130,4.73684
560,230,4.73684
510,200,12.10526
230,120,3.15789
980,120,3.15789
410,200,14.21053
620,350,4.73684
360,180,20
300,130,3.68421
380,180,4.73684
220,130,11.05263
480,130,3.15789
500,270,1.57895
1050,270,2.63158
1100,320,10
600,360,1.05263
160,130,5.78947
560,380,3.68421
440,250,4.73684
440,360,5.78947
650,220,6.84211
500,280,12.10526
230,200,11.05263
400,250,3.15789
580,250,15.26316
300,210,5.78947
340,200,14.21053
240,130,4.73684
420,250,3.68421
580,150,6.84211
740,130,1.57895
290,220,16.31579
620,220,5.78947
750,350,8.94737
780,350,2.10526
700,150,2.63158
850,250,1.05263
450,130,4.21053
250,180,10
560,400,4.73684
230,130,5.78947
280,130,23.68421
390,150,2.63158
520,330,20.52632
470,350,13.15789
250,150,1.57895
540,180,17.36842
480,220,7.89474
320,200,2.63158
230,100,6.84211
600,330,5.78947
270,130,3.68421
300,230,6.84211
230,150,2.10526
400,170,7.89474
300,130,5.78947
550,250,10
410,220,10
310,130,4.21053
180,120,5.78947
560,110,4.21053
340,220,6.84211
490,270,2.10526
710,250,5.78947
300,150,5.78947
390,300,7.89474
430,230,4.73684
520,270,4.21053
1000,400,5.78947
880,350,2.63158
350,170,17.36842
800,300,2.63158
220,210,2.10526
600,300,1.05263
450,220,3.15789
330,140,13.15789
300,150,8.94737
800,200,8.94737
320,220,2.63158
220,150,5.78947
350,220,3.68421
700,100,19.47368
380,300,3.68421
520,400,4.21053
640,300,16.31579
480,200,2.63158
440,270,5.26316
230,130,6.84211
410,280,8.94737
440,330,17.36842
510,280,7.89474
440,350,8.94737
260,240,6.84211
250,130,5.26316
800,250,1.05263
300,120,3.68421
270,220,4.73684
900,270,2.63158
300,130,2.10526
390,290,3.68421
230,150,3.68421
300,210,7.89474
290,270,6.84211
380,250,1.05263
640,270,7.89474
740,420,11.05263
270,150,10
250,150,2.63158
380,150,11.05263
270,130,3.15789
270,220,2.10526
640,180,1.05263
680,300,4.21053
500,330,5.26316
380,150,2.63158
410,300,3.68421
850,150,11.05263
590,270,6.84211
320,310,3.68421
380,180,2.10526
530,280,4.73684
340,250,5.78947
370,260,2.10526
250,180,2.63158
300,110,4.73684
440,270,6.84211
480,180,12.10526
600,340,5.78947
180,150,2.10526
300,270,3.15789
430,420,8.94737
550,270,6.84211
310,290,2.63158
490,200,18.42105
440,230,4.21053
320,180,4.73684
800,250,2.10526
470,210,3.68421
330,190,8.94737
500,250,5.78947
640,230,6.84211
600,330,5.78947
470,180,7.89474
310,140,2.63158
560,400,5.26316
700,230,4.21053
860,250,6.84211
200,150,3.15789
150,120,1.57895
540,270,10
320,250,5.78947
500,300,22.63158
300,250,3.15789
300,190,2.10526
260,250,5.78947
340,150,4.73684
230,200,10
600,200,3.68421
360,70,4.73684
420,100,3.15789
400,200,6.84211
360,210,2.63158
420,250,11.05263
200,180,10
480,460,4.73684
440,250,8.94737
270,220,2.10526
320,220,6.84211
420,120,3.15789
400,250,4.73684
230,120,4.21053
300,130,21.57895
450,250,11.05263
300,250,6.84211
520,220,18.42105
310,180,4.73684
400,200,3.68421
390,120,3.68421
340,150,3.15789
480,230,3.68421
360,260,10
390,150,1.57895
220,50,11.05263
280,150,3.68421
390,100,3.15789
390,50,4.21053
400,200,4.21053
450,230,5.78947
1150,450,5.26316
