Length,Width,Layer Number
36.59888,18.48998,0.85249
21.22436,2.89644,0.85937
34.69655,14.32898,0.88842
98.00505,10.67171,0.89041
46.55824,7.49365,0.89338
50.455,13.53843,0.8939
39.1162,11.45947,0.90882
27.48604,4.4333,0.92181
37.086,25.31518,0.92979
49.57652,12.0926,0.93174
40.8374,27.11911,0.93584
20.97855,13.88055,0.9476
23.49744,5.20697,0.95565
59.24116,10.82094,0.96074
38.53602,21.18286,0.96697
24.3233,7.25682,0.96749
28.79198,11.44497,0.97122
37.51384,2.10968,0.98216
44.04711,12.93716,0.99455
24.75975,7.72321,1.00394
18.94177,6.3695,1.00767
36.33293,9.6443,1.00787
28.02779,2.60928,1.02458
51.616,37.93958,1.04027
32.32629,9.93064,1.0412
31.82652,4.80754,1.04327
30.82519,28.99655,1.04435
16.25164,5.22855,1.04495
31.83955,4.86885,1.0463
35.52251,38.3867,1.04902
35.09917,3.76476,1.05248
24.54259,18.89376,1.05615
13.24791,4.6704,1.06068
52.15329,16.71029,1.08537
75.82482,16.53148,1.09768
58.11475,13.27955,1.11169
32.96228,5.63673,1.11406
29.99267,15.37581,1.12301
21.23766,10.71265,1.12564
46.86807,7.66407,1.12719
27.47412,9.09661,1.13324
40.86897,12.88611,1.13806
27.79097,7.78772,1.13975
46.24189,24.8209,1.14725
30.0961,13.81267,1.15424
11.07324,4.84225,1.15666
16.87797,4.99133,1.16177
46.08039,38.47353,1.1685
45.05514,10.01288,1.17712
65.54756,10.81715,1.18188
30.29168,23.22641,1.18295
40.20126,5.15746,1.18472
31.72695,19.70084,1.18566
45.93144,29.62233,1.1911
18.99345,4.73457,1.19598
39.10816,13.55677,1.20462
30.59714,4.80386,1.20869
33.04443,13.47511,1.21943
35.73367,22.39908,1.23048
29.87391,19.0984,1.24582
15.77252,8.09489,1.25027
20.98143,10.07749,1.25202
19.50269,2.60476,1.25583
61.02563,16.46297,1.26399
59.30125,13.53642,1.2712
59.61821,22.03717,1.2825
13.49787,5.00997,1.28807
48.68761,15.67509,1.2895
18.58196,8.50952,1.29203
27.07314,5.16412,1.29723
22.35467,13.86837,1.29958
13.16461,10.33197,1.29998
38.75242,2.94024,1.30024
56.58841,25.27539,1.30361
36.6582,9.71428,1.30488
21.95337,4.46455,1.31437
25.95291,10.01876,1.3225
44.89146,18.93714,1.32276
27.93251,12.21871,1.33918
16.64748,4.02028,1.34322
29.43592,16.86188,1.34701
15.98892,9.38397,1.34773
24.33655,4.83114,1.35181
27.48386,13.85881,1.35682
16.80867,6.80073,1.35743
28.12548,21.55507,1.35953
14.51743,9.38367,1.36089
17.2744,7.30006,1.36097
19.79399,8.78067,1.37135
31.92103,16.79714,1.37244
28.10853,16.19786,1.37325
31.08395,16.81038,1.37627
41.9739,18.87841,1.38479
23.10248,14.37471,1.39043
21.77121,14.17197,1.39557
13.70527,2.60344,1.40559
18.4895,16.11612,1.41699
57.29546,5.3029,1.41989
26.88108,37.00847,1.42003
30.7905,13.57404,1.42154
43.64241,5.29538,1.42298
17.20676,7.9835,1.42504
17.08683,14.90561,1.42514
26.34892,9.78611,1.4293
24.60627,7.37189,1.42948
43.95447,22.19237,1.43829
46.5336,7.92403,1.44595
21.24472,13.90211,1.44596
33.28853,9.46031,1.44828
72.65735,19.09816,1.47174
22.99813,15.09035,1.47508
47.01665,20.85683,1.47597
35.03822,3.89432,1.48954
34.52736,7.1772,1.49375
15.1354,8.10127,1.49389
32.47595,13.53438,1.50081
43.06342,12.43107,1.50386
56.85962,10.49758,1.50943
24.67721,18.44399,1.51317
15.62373,14.48566,1.55042
93.35109,8.05611,1.56303
44.13232,4.99971,1.57173
26.87013,13.65302,1.5889
18.48685,10.19478,1.59068
23.55522,2.91591,1.59498
37.26605,7.69312,1.59856
28.05147,2.37293,1.60196
21.21437,16.73918,1.61179
46.07842,15.57205,1.61398
44.02382,8.12571,1.61423
36.86954,11.09663,1.61477
10.48142,5.75759,1.6165
37.64143,8.4978,1.61821
28.05147,5.12561,1.61934
53.93092,21.18382,1.62172
35.25908,14.41539,1.62813
22.3801,11.79516,1.62827
40.93831,32.56323,1.62948
22.00281,7.011,1.6355
14.52461,4.86885,1.64008
42.08026,2.14066,1.64079
45.4072,4.34011,1.64384
42.48492,8.7896,1.64407
52.21741,16.43683,1.64578
34.51338,9.66039,1.64859
31.42667,7.41502,1.65448
16.21286,2.62513,1.65727
54.79377,13.64692,1.65751
23.84858,7.79686,1.66168
24.82022,14.33479,1.66265
15.90286,4.92746,1.66353
21.49754,4.77394,1.66996
63.94626,10.31943,1.67395
43.44398,25.68215,1.68011
54.77172,8.6158,1.68293
15.79864,7.75477,1.68516
38.96116,27.82979,1.68835
21.76839,8.33293,1.68958
30.56824,15.13996,1.69061
20.07147,18.5792,1.69384
22.08579,15.94458,1.6973
54.67104,19.61902,1.70584
28.52914,4.98592,1.7064
9.78159,11.79516,1.71148
13.86598,7.75622,1.7185
