Length,Width,Layer Number
74.86699,42.7094,0.87654
119.41627,30.13557,0.88644
52.14126,10.58745,0.8926
94.87028,49.25687,0.92339
32.06713,16.03537,0.92676
71.91532,26.65511,0.93461
101.96446,46.67246,0.95682
31.9176,10.28568,0.96719
74.89763,35.83342,0.97466
37.78545,53.92714,1.00663
53.55188,30.96833,1.01474
45.36058,18.54678,1.043
55.02787,57.34417,1.04847
29.17548,35.50794,1.08369
102.21258,29.56602,1.1029
51.5906,13.07897,1.12629
70.41747,27.78473,1.17091
46.14683,37.42979,1.17474
166.10489,66.57638,1.19866
58.57236,20.22024,1.20682
55.60921,24.18983,1.21524
49.35358,16.33212,1.21981
81.99972,24.97516,1.28028
83.55583,19.82257,1.30471
40.31331,36.03005,1.30565
28.95268,31.79184,1.31398
19.22666,10.82144,1.32167
29.46259,11.57006,1.34095
40.50591,26.61999,1.3561
65.69079,21.27602,1.35769
38.16446,6.93327,1.36114
43.93281,13.18395,1.37164
27.23221,21.72549,1.37292
65.39799,23.69102,1.37371
117.37573,52.18014,1.37853
60.59692,20.4146,1.38188
51.49322,18.75097,1.3988
36.21751,37.85217,1.41069
113.63294,4.70406,1.41453
73.72779,30.9495,1.43838
73.13768,24.82459,1.43941
110.15443,5.23164,1.44072
57.63603,23.79354,1.45765
53.88963,44.34727,1.47512
43.89122,19.75168,1.48531
72.72995,12.39411,1.49349
28.59911,11.05451,1.49501
44.16029,15.43864,1.49631
66.06191,19.79551,1.50296
31.24271,29.97243,1.50447
68.00686,14.16964,1.53054
118.58403,51.12023,1.53281
83.09261,21.66683,1.54477
71.64821,19.7062,1.54755
47.17667,30.13928,1.55482
43.9814,18.71401,1.55831
122.19423,21.77195,1.57062
44.80436,24.15927,1.57994
36.43058,31.70377,1.58192
32.38014,14.28753,1.58389
138.41291,41.24294,1.58544
19.36186,8.02159,1.58811
37.66032,17.20868,1.59217
45.67587,27.56423,1.60316
41.15003,15.25715,1.61693
142.65122,18.54964,1.61723
158.19444,44.74805,1.61744
34.35201,20.2002,1.62059
39.74756,17.06563,1.62725
42.52391,21.46922,1.64484
77.77102,7.97235,1.6563
48.39056,49.37236,1.65981
65.45758,17.0181,1.66022
47.24311,21.39169,1.66185
73.47285,15.96035,1.66389
21.899,18.52964,1.67732
27.31913,13.71156,1.70909
204.30099,26.053,1.70943
48.20487,27.66873,1.72391
59.43965,30.64328,1.73444
32.98007,19.89656,1.74628
44.56248,40.73803,1.74758
58.78141,21.66898,1.74933
82.42013,10.22431,1.75255
51.77704,27.56023,1.75784
70.99168,65.5429,1.75919
32.95378,27.44015,1.76457
