Length,Width,Layer Number
48.16912,29.93289,0.88114
181.90261,111.97328,0.91076
135.05076,19.42862,1.07281
230.51406,120.88863,1.1935
134.31389,40.61092,1.21444
106.56504,80.12894,1.23265
159.33916,83.68711,1.24302
67.05614,27.87217,1.25602
71.66732,26.25516,1.29785
48.54234,22.60305,1.31486
51.73481,18.00284,1.31686
338.52039,40.09403,1.34478
71.86095,34.34813,1.38968
104.66303,39.71645,1.4489
56.66836,38.10099,1.46512
60.3056,20.87455,1.47521
57.93703,44.53427,1.48422
60.02022,23.9075,1.54656
137.42384,92.71579,1.57051
106.81443,31.62509,1.57262
137.95296,84.68772,1.5729
80.03455,26.64786,1.5731
101.39499,70.65978,1.58551
167.61335,17.58939,1.58922
107.69019,29.70744,1.59455
257.1172,68.26968,1.60977
115.81936,92.63716,1.61103
71.98855,42.73672,1.61972
54.40437,30.06426,1.68395
54.63553,11.20668,1.70495
82.23238,27.73016,1.74801
122.42066,51.65095,1.75088
93.13163,32.53345,1.77957
96.21002,34.5743,1.78855
83.04303,40.47897,1.79647
95.82584,29.97151,1.82221
105.06996,64.56717,1.83611
58.8301,31.4481,1.84452
63.04859,17.15209,1.84466
48.83907,23.17466,1.85084
69.05857,18.4821,1.85338
95.60482,15.31019,1.85408
97.70318,92.743,1.87191
101.60072,41.04726,1.87706
53.60683,37.68336,1.88998
107.93917,23.74683,1.89173
40.34084,13.12516,1.89834
45.8521,34.21989,1.90284
146.33507,53.64385,1.91457
171.51567,17.63566,1.93505
91.5342,25.71886,1.98514
72.39217,12.14281,1.98539
112.99553,86.72764,1.98713
75.84619,25.588,1.98876
96.9656,30.8861,1.99311
37.95862,22.86523,1.99858
138.10672,52.03786,2.00666
93.38305,14.57557,2.03131
65.58359,23.27547,2.03743
84.82752,35.63207,2.03886
129.4599,44.62762,2.05914
67.28494,40.3174,2.06314
74.93746,23.52455,2.06319
49.48942,45.06726,2.08449
86.07045,30.5366,2.08716
87.63059,49.06881,2.09592
49.67301,40.50127,2.11792
59.55946,27.08111,2.12876
94.53249,22.70899,2.16438
116.93679,48.88285,2.17059
90.7932,35.80574,2.19672
52.03571,16.5618,2.22118
58.56336,35.51199,2.22284
51.99752,37.05405,2.22685
87.3479,72.52346,2.2275
90.40481,47.84636,2.24562
63.59148,52.7679,2.25025
42.25349,19.20157,2.27592
71.17144,18.90065,2.30057
132.7049,34.79392,2.32636
124.93952,27.0961,2.34541
212.32742,87.43885,2.35848
77.88904,63.39489,2.36502
82.54298,29.60672,2.36715
59.49037,48.59768,2.40371
90.54917,69.46283,2.40622
81.98783,37.92073,2.42641
66.06258,31.87912,2.42832
64.22324,33.87578,2.4346
47.70071,50.03451,2.44339
59.60442,12.39542,2.48889
80.28566,38.09057,2.51473
142.12162,95.31372,2.52961
70.58928,40.93312,2.54648
69.63018,82.74184,2.55923
52.55684,40.15418,2.56188
60.22786,27.50623,2.56826
70.43636,21.25727,2.58003
95.64364,68.0011,2.58149
97.30828,31.03416,2.58452
127.76929,33.44335,2.63157
144.52641,54.04682,2.64775
112.09069,32.9753,2.65359
103.29071,27.2427,2.6616
89.94569,58.11599,2.66672
109.58597,58.56402,2.67572
61.42004,33.39036,2.67697
90.82265,47.99963,2.67733
118.98965,15.42373,2.69211
86.10379,69.91415,2.70388
72.72862,28.2999,2.71204
133.63141,93.78096,2.71446
59.58843,27.5027,2.72212
188.59553,68.82629,2.74715
55.06133,36.69585,2.75221
130.25671,77.45879,2.75461
54.0904,25.7485,2.7587
190.7036,67.38539,2.7801
37.58712,30.94603,2.80277
92.86859,27.0142,2.80923
81.94515,41.39702,2.81979
86.51262,37.3334,2.82143
83.61786,16.23075,2.82183
50.93052,15.47145,2.87871
99.68168,38.67915,2.88943
107.88365,64.58158,2.893
52.85666,43.92979,2.89866
91.22435,33.12043,2.91578
105.59966,41.18984,2.93124
54.43017,41.55396,2.93455
37.61711,14.86914,2.94379
89.22172,31.94082,2.94837
68.27029,33.34716,2.95079
159.9292,41.24073,2.95833
93.68054,32.87373,2.96665
297.75731,55.01037,2.96958
92.60204,31.75417,2.9719
87.63938,29.94114,2.98978
101.29287,41.2402,3.00135
166.8433,56.33178,3.01437
79.60466,37.80211,3.0163
55.36044,32.41068,3.02669
119.32397,92.14083,3.02738
69.37611,36.36073,3.03994
86.68294,41.39639,3.07278
52.29383,30.97311,3.08576
69.8064,10.64082,3.09002
57.6746,23.23938,3.09043
87.33572,52.01962,3.09577
39.95751,28.31439,3.09851
113.7014,45.89894,3.09994
82.26447,39.68429,3.11575
90.40379,48.03824,3.12523
68.82895,39.60232,3.13173
82.25001,59.56361,3.14622
25.39225,20.26269,3.14754
84.25168,27.37728,3.14991
72.64085,63.58803,3.1556
95.35647,29.60881,3.19407
168.19279,45.40192,3.20399
76.22614,29.04052,3.20615
220.03478,130.2207,3.21278
40.64423,22.68516,3.23754
93.71115,39.84782,3.24967
123.37987,51.46827,3.25055
106.96557,31.08564,3.26038
78.15105,19.08217,3.26076
53.49834,26.68457,3.28026
169.77583,48.22293,3.28394
81.79814,65.73544,3.28582
137.69886,29.65343,3.28893
97.55754,41.23766,3.29485
149.63602,75.98939,3.31376
59.88314,18.18323,3.31983
79.95434,56.42959,3.3353
79.99208,83.97024,3.33916
143.84288,31.82989,3.34386
65.1086,31.05363,3.34526
54.32101,18.43375,3.34765
53.55912,33.0569,3.37601
75.79559,70.87937,3.3859
143.99234,92.59367,3.38692
36.10287,23.21245,3.38999
65.57904,37.71447,3.4306
70.62057,55.87666,3.43236
45.19323,36.84013,3.43495
144.6423,41.24132,3.4479
86.68497,26.92361,3.44831
116.18854,44.59265,3.45113
